wb,ov_typ,distr_id,na_kun_stm,length,Basis
839,RW1,DK1,Naturlig,1.3193678896041394,
841,RW1,DK1,Naturlig,1.246974392926115,3.0
843,RW1,DK1,Stærkt modificeret,1.221734867828418,
847,RW1,DK1,Naturlig,1.9184208405755903,3.0
848,RW1,DK2,Naturlig,3.0913572866994388,3.0
851,RW1,DK1,Naturlig,0.164185827884352,3.0
855,RW3,DK1,Naturlig,21.006692605508515,4.0
856,RW1,DK1,Naturlig,0.7103859144527717,
861,RW1,DK2,Stærkt modificeret,1.487713239907571,
862,RW1,DK1,Naturlig,1.1205388312499003,3.0
863,RW1,DK1,Kunstig,0.25437165828006647,3.0
864,RW2,DK1,Naturlig,18.99281893596956,1.0
865,RW1,DK1,Stærkt modificeret,1.301292644820564,
868,RW1,DK1,Kunstig,2.427693909040695,
869,RW1,DK1,Naturlig,1.2989191607150636,1.0
870,RW1,DK1,Naturlig,1.691070397206936,3.0
871,RW1,DK1,Naturlig,1.1262802785051211,3.0
874,RW1,DK2,Stærkt modificeret,1.4002962051811814,
875,RW1,DK1,Naturlig,1.9100300715843601,3.0
877,RW1,DK1,Kunstig,1.6563805162837757,4.0
880,RW1,DK1,Naturlig,1.6679145068337025,2.0
881,RW1,DK1,Stærkt modificeret,2.0901864795766625,3.0
882,RW1,DK1,Naturlig,2.213928764992662,3.0
883,RW2,DK4,Naturlig,22.093863901076634,4.0
884,RW1,DK1,Naturlig,1.0996381201176806,2.0
885,RW1,DK1,Kunstig,1.157367635811842,
888,RW1,DK1,Naturlig,1.1588402806338485,
890,RW2,DK1,Naturlig,24.80088893585848,2.0
893,RW1,DK1,Naturlig,1.0401005263324186,3.0
898,RW1,DK1,Kunstig,0.8233987264148945,3.0
899,RW4,DK1,Naturlig,0.2603181623183023,
900,RW1,DK1,Naturlig,1.2223916924416625,3.0
901,RW1,DK1,Naturlig,1.0765982537762915,
904,RW1,DK1,Naturlig,2.152303358400668,3.0
905,RW1,DK1,Naturlig,1.344633118129794,3.0
906,RW1,DK1,Naturlig,1.0737905786339026,3.0
908,RW1,DK1,Naturlig,24.543678006350603,3.0
909,RW1,DK1,Naturlig,11.92426396074194,3.0
912,RW2,DK1,Naturlig,1.344865995491338,3.0
913,RW3,DK1,Naturlig,16.65949619207,4.0
914,RW2,DK2,Stærkt modificeret,1.0637166982241928,
915,RW1,DK1,Kunstig,3.001312177600549,1.0
916,RW5,DK4,Naturlig,3.4088515346077384,
920,RW1,DK1,Naturlig,1.0157082292056883,3.0
921,RW1,DK1,Kunstig,1.31391840975985,
922,RW1,DK1,Naturlig,0.8685465568014658,2.0
923,RW1,DK1,Naturlig,6.323472125505625,2.0
925,RW3,DK1,Naturlig,44.82533576162104,3.0
926,RW1,DK1,Naturlig,1.2728302020048965,3.0
929,RW1,DK1,Naturlig,0.7540800040054412,0.0
930,RW2,DK1,Naturlig,0.3644207611107938,2.0
931,RW1,DK1,Naturlig,1.4224588979958486,
932,RW1,DK1,Naturlig,1.118765050173416,
933,RW2,DK3,Naturlig,16.145395924634283,3.0
934,RW1,DK1,Naturlig,0.11673490895261908,2.0
935,RW2,DK2,Stærkt modificeret,1.0332347271412994,3.0
938,RW1,DK1,Kunstig,1.0205520688424603,3.0
941,RW2,DK2,Naturlig,0.8984175484161492,3.0
942,RW1,DK1,Naturlig,0.27740525683601797,3.0
947,RW1,DK1,Naturlig,1.3386316888836463,4.0
948,RW5,DK2,Naturlig,1.4849169660374866,
