wb,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
260,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,29.0,,,58.0,,,,,
261,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,5.0,,,,,,
262,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,22.0,,,
263,,,,,,,,,,,,,,,,57.0,,,,101.0,,,115.0,,,,64.0,,,,,,121.0,,,,
265,233.0,,237.0,245.0,270.0,336.0,189.0,261.0,169.0,,103.0,119.0,146.0,140.0,159.0,152.0,167.0,175.0,,,91.0,,,,,,117.0,,,,,,128.0,,,,
266,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,60.0,,,,,,,18.0
268,,79.0,,,,,,,,,,,,,74.0,,,,168.0,,,109.0,,,,,186.0,128.0,,,,127.0,,101.0,,,
269,65.0,,,87.0,,,,118.0,,,,,,,,,95.0,,,121.0,,,114.0,,,48.0,,,,,,73.0,,,,,38.0
270,93.0,,,46.0,,,,126.0,,,,,,,,,131.0,,,124.0,,,155.0,,,51.0,,,,,,125.0,,,,,76.0
271,,,9.0,,,,11.0,,,,,,,7.0,,,,,20.0,,,,11.0,,,13.0,,,10.0,,,,9.0,,7.0,,
272,,28.0,,,,,,,,,,5.0,,,,19.0,,,8.0,,,,16.0,,,,,15.0,,,,,,8.0,,,9.0
273,,,34.0,,,,,,,,,6.0,,,,,,,,,,,,144.0,,,85.0,,,68.0,,,3.0,,,2.0,
274,,,,,,,,,,,,,,11.0,,,,,,,39.0,,,,,17.0,,,,,,20.0,,,21.0,,
275,,,,,,,57.0,,62.0,,,,,42.0,,,,,,,,,46.0,,,,,,186.0,,,83.0,,,,,
276,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,119.0,,,159.0,,,,
277,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,,,117.0,,,,
278,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,,,,,,,69.0,,,
279,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,78.0,,,
282,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,6.0
284,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,,,,109.0,,,
285,,,,,,,,,,,,27.0,,,,11.0,,,,31.0,,,25.0,,,,,17.0,,,42.0,,5.0,,,48.0,
286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,
288,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,9.0
289,,,,,,,,,,,22.0,69.0,,,,126.0,,,,,,31.0,,,,10.0,,,33.0,,30.0,,,,14.0,,
290,,,,,,,,,,,,,,,,,,,,38.0,,,,,42.0,,,,,,,15.0,,,,,
291,,,,,,,,,,,,,9.0,,,,,,34.0,,,79.0,,,,56.0,,,26.0,,57.0,,,,63.0,,
293,,,,,,,,,84.0,,,,,,40.0,,,,,,,,35.0,,,,,,38.0,,,,,,232.0,,
294,,,,,,,,,,,,64.0,,,,58.0,,,,,,,,,,,105.0,,,,,,147.0,,,,
295,,,,,,148.0,,,,,,,,,,116.0,,,,,,,,,,132.0,,,,,,140.0,,,,,
296,,,,,,,,,,,154.0,,,,,,,,,,85.0,,,,,,,67.0,,,,,,170.0,,,
297,,,,180.0,,,,,,158.0,,,,,,,,,122.0,,,135.0,,,,,,25.0,,101.0,,,,6.0,,,15.0
298,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,20.0,,,,20.0,,
299,,,83.0,,,,,,,,,159.0,,,,,,,,,,,,,,,,67.0,,,,,,84.0,,,
300,,,22.0,50.0,5.0,7.0,2.0,26.0,6.0,8.0,9.0,11.0,15.0,35.0,31.0,77.0,7.0,13.0,38.0,34.0,48.0,75.0,35.0,74.0,56.0,16.0,29.0,30.0,,60.0,,52.0,,26.0,,15.0,
301,,,,40.0,,,,,,,,,,,,,,52.0,,,42.0,,,,,,66.0,,,,,,42.0,,,,
302,,,,,,,,,,,,,,,,120.0,,,,,,,,,,140.0,,,,,,328.0,,,,,
303,39.0,,47.0,,,,,,,,12.0,60.0,,,,50.0,,,,20.0,,,19.0,,,,,,6.0,,,15.0,,,8.0,,
304,,,,,,,,,,,,,,,,,,27.0,,,56.0,,,49.0,,,,,,203.0,,,129.0,,,,63.0
305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,138.0,
306,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,6.0,,,,8.0,,
307,,,,,,,,,,,,66.0,,,,,,84.0,,,31.0,,,56.0,,,,,,38.0,,,,,,113.0,
308,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,62.0,,,,,,26.0,
309,118.0,,163.0,210.0,124.0,71.0,182.0,196.0,142.0,134.0,147.0,,,,,,,34.0,,,94.0,,,41.0,,,,27.0,,86.0,,,49.0,,,54.0,
310,,,,,,,39.0,107.0,120.0,152.0,69.0,132.0,72.0,29.0,99.0,75.0,,,,53.0,,,142.0,,,111.0,,,,,,78.0,,,,,85.0
311,,,,,,,,,,,,142.0,,,,,129.0,,,172.0,,,100.0,,,,74.0,,,,,,94.0,,,,
312,,,,,,,,,,,,,,,,,,,50.0,,,,82.0,,,,,56.0,,,36.0,,,45.0,,,
315,,,,,,,,,,,,,,,,27.0,,,,,,,,,,5.0,,,,,,42.0,,,13.0,,
316,,,,,,,,,,,,,,,,,,,,,17.0,,,,5.0,,,5.0,,,,,,,,,
317,,,,,,,,,,,,,15.0,,,,,,,227.0,,,56.0,,,,,59.0,,,9.0,,,74.0,,,
318,,,,,,,,,,,,,127.0,,,,,,,,,163.0,,,,,,,58.0,,,,,,52.0,,
319,,,,,,68.0,22.0,,,,,,,,49.0,,,98.0,,,83.0,,,49.0,,,,13.0,,79.0,,,69.0,,,4.0,
320,,,62.0,79.0,55.0,84.0,91.0,177.0,99.0,63.0,82.0,,,,,,,,,,,,,,,,,51.0,,,,,,79.0,,,
321,,,,,,,,,,,,2.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,2.0
322,,,,,,,,,,,,29.0,,,,,45.0,,106.0,,,178.0,,,12.0,,,35.0,,,75.0,,,,,,41.0
323,,42.0,,,,,,,,,,,63.0,,,,,,14.0,34.0,,31.0,,,59.0,,,,54.0,,134.0,,,,,,
