wb,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
285,,,,,,,,,,,2.0,,,,4.0,,,,2.0,,,2.0,,,,,3.0,,,2.0,,4.0,,,2.0,
286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
288,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,3.0
289,,,,,,,,,,3.0,1.0,,,,0.0,,,,,,2.0,,,,4.0,,,2.0,,2.0,,,,3.0,,
290,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,3.0,,,,,
291,,,,,,,,,,,,4.0,,,,,,2.0,,,1.0,,,,1.0,,,2.0,,1.0,,,,1.0,,
293,,,,,,,,1.0,,,,,,2.0,,,,,,,,2.0,,,,,,2.0,,,,,,0.0,,
294,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,0.0,,,,,,0.0,,,,
295,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,
296,,,,,,,,,,0.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,0.0,,,
297,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,,,2.0,,0.0,,,,4.0,,,3.0
298,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,2.0,,,,2.0,,
299,,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,
300,,2.0,1.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,,0.0,,1.0,,2.0,,2.0,
301,,,2.0,,,,,,,,,,,,,,2.0,,,2.0,,,,,,1.0,,,,,,2.0,,,,
302,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,
303,,2.0,,,,,,,,3.0,1.0,,,,2.0,,,,3.0,,,3.0,,,,,,4.0,,,3.0,,,4.0,,
304,,,,,,,,,,,,,,,,,2.0,,,1.0,,,2.0,,,,,,0.0,,,0.0,,,,1.0
305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,
306,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,4.0,,,,3.0,,
307,,,,,,,,,,,1.0,,,,,,1.0,,,2.0,,,1.0,,,,,,2.0,,,,,,0.0,
