wb,ov_typ,distr_id,til_oko_fy,Shape_Length,length
376,LWTYPE15,DK1,Dårlig økologisk tilstand,3573.781403047161,3.573781403047161
377,LWTYPE11,DK1,God økologisk tilstand,4170.306674891581,4.170306674891581
378,LWTYPE15,DK1,Moderat økologisk tilstand,3821.934117085335,3.821934117085335
379,LWTYPE9,DK1,Ringe økologisk tilstand,13213.802243415326,13.213802243415326
380,LWTYPE9,DK1,Moderat økologisk tilstand,1127.7174235465834,1.1277174235465834
381,LWTYPE9,DK1,God økologisk tilstand,5903.321011362961,5.903321011362961
382,LWTYPE11,DK1,Høj økologisk tilstand,1595.4273166179753,1.5954273166179753
383,LWTYPE11,DK1,God økologisk tilstand,1661.1530821751733,1.6611530821751732
384,LWTYPE13,DK1,God økologisk tilstand,3659.1022065016973,3.6591022065016974
386,LWTYPE5,DK1,Dårlig økologisk tilstand,1251.2207746257777,1.2512207746257777
387,LWTYPE13,DK1,Høj økologisk tilstand,2516.891250989928,2.5168912509899277
389,LWTYPE9,DK1,Høj økologisk tilstand,1990.4647857682808,1.9904647857682807
390,LWTYPE9,DK1,Moderat økologisk tilstand,9286.76589023089,9.28676589023089
391,LWTYPE13,DK1,Dårlig økologisk tilstand,994.6735798947135,0.9946735798947135
392,LWTYPE11,DK1,Dårlig økologisk tilstand,2636.857159382127,2.636857159382127
393,LWTYPE11,DK1,Moderat økologisk tilstand,6478.064505442047,6.478064505442047
394,LWTYPE13,DK1,Moderat økologisk tilstand,2040.277923231766,2.040277923231766
395,LWTYPE11,DK1,God økologisk tilstand,10862.706641840452,10.862706641840452
396,LWTYPE9,DK1,Ringe økologisk tilstand,5235.421527170741,5.2354215271707405
397,LWTYPE10,DK1,Ringe økologisk tilstand,20711.65299560148,20.71165299560148
398,LWTYPE5,DK1,God økologisk tilstand,1337.044174088277,1.337044174088277
399,LWTYPE13,DK1,Moderat økologisk tilstand,2760.1047102324706,2.7601047102324707
