g_del_cd,g_len,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
o8693,9.475962455801,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,,4.0,,4.0,,4.0,,5.0,,,,4.0,,5.0,
o10550b,16.358370344351,4.0,2.0,4.0,4.0,,4.0,,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,,,,,,,,,5.0
rib_1.10.02395,0.4510307936671,,,,,,,,,,2.0,2.0,3.0,,,,3.0,,,,,3.0,,,3.0,,,3.0,3.0
o3784,2.9050228929325,,3.0,4.0,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,3.0,,,5.0,,,,,5.0,
o8635_a,11.924579242988,4.0,,,,,4.0,,,,,,4.0,,,,,,,,,,4.0,,,,,4.0,
ode_1.15_188,0.24699257286193,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8728,7.8158419147644,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,,4.0,,4.0,,,,4.0,,,4.0,,,4.0,,5.0
o10491,6.9699059192043,4.0,,,,4.0,,,,,,5.0,,,,,,,,,4.0,,,,,,4.0,,
t247,0.033604411563233,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ros_2.4_03900,0.19459861116076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8708,15.353542936128,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,,,,4.0,,,,4.0,,4.0,4.0,,,3.0,,4.0
ode_1.14_176,0.45354675659398,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8611_e,10.942828543804,,,,,,,,,,,,,,,,,,,4.0,,4.0,,,,,,3.0,4.0
ros_2.4_03700,0.26233732636762,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nyk_2.5_676,0.21658050229256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o3198_a,0.19147776500435,,4.0,3.0,4.0,3.0,4.0,,4.0,3.0,3.0,4.0,4.0,4.0,,,,,,3.0,,,,,,,,,
t380,0.064689636814393,,,,,,,,,,,,,,,,,,,,,,,,,,,,
