j,t,v,Q,ln y,D age,ln PSL,ln PAL,SL,D lakes,N
streams,2006,106,2.469847503,1.628667129,0,-0.415637122,-0.424676608,0.149000919,0,14626
streams,2006,107,2.317018708,1.654915279,0,-0.260458679,-0.391314806,0.226384864,0,3174
streams,2006,108,2.358970199,1.676744979,0,-0.065104063,-0.231472807,0.045290341,0,615
streams,2006,109,2.416954358,1.710973299,0,-0.252998443,-0.203807732,0.103165471,0,2791
streams,2006,110,2.292529413,1.687069012,0,-0.267546272,-0.453145595,0.072302351,0,3907
streams,2006,111,2.385617284,1.635275055,0,-0.270945747,-0.308861431,1.216710568,0,27122
streams,2006,113,2.497604561,1.649452126,0,-0.664777132,-0.697009484,0.024346523,0,2680
streams,2006,114,1.609497396,1.5873553,0,-1.305644325,-0.340761064,0.03285441,0,10027
streams,2006,119,1.889495891,1.707985943,0,-0.534787118,-1.218423653,0.200382305,0,1656
streams,2006,120,2.433409973,1.672604707,0,-0.21214615,-0.231623791,1.271640383,0,32937
streams,2006,121,2.417369406,1.661783802,0,-0.261518564,-0.44164026,1.491904665,0,76724
streams,2006,122,2.623077421,1.827624583,0,-0.388997304,-0.416428162,0.349019873,0,12814
streams,2006,123,2.76344549,1.69131223,0,-0.683171149,-0.70938742,0.321432109,0,31707
streams,2006,124,2.666951386,1.693220862,0,-0.393706218,-0.493924687,0.304968076,0,30801
streams,2006,125,2.756596287,1.941314767,0,-0.767748683,-0.479722533,0.032233804,0,2491
streams,2006,127,2.091962747,1.857033459,0,-2.483880149,-0.371291291,0.003630072,0,714
streams,2006,128,2.592252208,1.678746881,0,-0.457105272,-0.398836805,0.427770996,0,37745
streams,2006,129,2.223883627,1.647166158,0,-0.215267856,-0.477264093,0.26511461,0,2736
streams,2006,130,2.438215317,1.704695872,0,-0.141747268,-0.361939193,0.098447272,0,1002
streams,2006,131,2.526417181,1.677199785,0,-0.347010967,-0.470572407,0.838491576,0,50974
streams,2006,132,2.530599932,1.725182512,0,-0.415720914,-0.499965093,2.254692583,0,56467
streams,2006,133,2.118374302,1.772897307,0,-2.332840177,-0.8192172,0.012195715,0,1129
streams,2006,136,2.558314986,1.712620942,0,-0.324602911,-0.578680588,2.972752118,0,145318
streams,2006,137,2.303853977,1.634298477,0,-0.406999289,-0.24953663,0.098053767,0,2773
streams,2006,138,2.458100328,1.638280151,0,-0.549712573,-0.739976961,0.118741557,0,2552
streams,2006,140,2.362943075,1.618064914,0,-0.210123093,-0.600661552,0.604362438,0,17661
streams,2006,141,2.658107787,1.63938442,0,-1.324749202,-1.645700254,0.016718095,0,3430
streams,2006,144,2.414949376,1.646545139,1,-0.57212899,-0.447274593,0.016730734,0,587
streams,2006,145,2.364466198,1.763179192,0,-0.224295604,-0.545850906,0.249617064,0,30719
streams,2006,146,2.478223081,1.722148268,0,-0.149024889,-0.337527183,0.172999883,0,6861
streams,2006,147,2.483667971,1.644286957,0,-0.274054661,-0.610826901,0.522096418,0,119021
streams,2006,154,2.000367253,1.469820409,1,-1.76681713,-1.557390129,0.027694527,0,1055
streams,2006,157,2.482449177,1.63856559,0,-0.45612515,-0.488169778,0.925262452,0,30466
streams,2006,158,2.541040649,1.670406161,0,-0.199862333,-0.394428795,0.854695972,0,21121
streams,2006,159,2.654901778,1.64681525,0,-0.518950337,-0.487799105,0.175133234,0,9827
streams,2006,160,2.634414744,1.615585429,0,-0.562248739,-0.520474286,0.154205901,0,6653
streams,2006,165,1.978828224,1.728746704,0,-0.284499324,-0.326416333,0.355715812,0,35953
streams,2006,200,1.963627757,1.825665438,0,-0.591232742,-0.981305192,0.215684221,0,29641
streams,2006,201,1.913194194,1.779485016,0,-0.282978808,-0.553261282,0.544707199,0,129877
streams,2006,204,2.123707364,1.663239155,0,-0.205980433,-0.38925113,0.758449001,0,41852
streams,2006,206,1.415021333,1.547024597,0,-2.079238771,-0.418478282,0.024106918,0,8016
streams,2006,207,1.554703531,1.448798707,0,-0.537390632,-0.209880256,0.1078224,0,10611
streams,2006,208,1.035516207,1.488698509,0,-0.358297507,-0.137941355,0.142037225,0,5699
streams,2006,209,1.586143817,1.559016629,1,-0.675538099,-0.295557053,0.12728601,0,5913
streams,2006,212,2.155829698,1.564924406,0,-0.698632714,-0.767261934,0.019586365,0,4187
streams,2006,214,2.383967771,1.563452304,0,-0.989304573,-0.434374379,0.183956765,0,28578
streams,2006,216,2.247737179,1.630626925,0,-0.857460366,-0.308115824,0.192907672,0,9795
streams,2006,217,2.385509974,1.66745529,0,-0.877112706,-0.362007245,0.139016479,0,6360
streams,2006,219,2.185741836,1.699934797,0,-0.813086645,-0.326972548,0.186034629,0,8042
streams,2006,221,2.363047186,1.627452653,0,-0.244280929,-0.770183928,1.261107858,0,33017
streams,2006,222,2.462659749,1.637141993,0,-0.257527057,-0.506879443,0.633580717,0,12441
streams,2006,224,2.363031877,1.653278166,0,-0.202643668,-0.26383835,0.342501382,0,9007
streams,2006,225,2.505986345,1.620674437,0,-0.30109266,-0.924354443,0.600887047,0,27786
streams,2006,231,2.03097872,1.635502658,0,-0.95744953,-1.239016741,0.040208601,0,27988
streams,2006,232,2.118189346,1.644249896,0,-0.577674775,-0.423923338,0.349227241,0,12147
streams,2006,233,2.216887043,1.635214994,0,-0.554053959,-0.3194047,0.533054597,0,22586
streams,2006,234,1.970332223,1.599167274,0,-0.513669439,-0.36481547,0.377164379,0,10641
streams,2006,235,2.345491971,1.615331857,0,-0.247566639,-0.416216547,1.497528305,0,121731
streams,2006,236,1.934537439,1.641132927,0,-0.558709304,-0.43727383,0.358007317,0,14585
streams,2006,238,2.567439959,1.680939789,0,-0.318415659,-0.331260784,0.267721508,0,6950
streams,2007,1,1.8825467,1.927059614,0,-0.396786686,-0.902698353,0.428039877,0,90270
streams,2007,2,2.032552903,1.843307677,0,-0.333843436,-0.51585487,0.298200926,0,44766
streams,2007,6,1.909069062,1.749506256,0,-0.793424475,-2.288347366,0.261572379,0,577224
streams,2007,16,1.228354518,1.745165937,0,-2.145086606,-0.393865743,0.002189458,0,2889
streams,2007,17,1.4,1.807591054,0,-1.161575756,-0.172109227,0.012917895,0,473
streams,2007,24,2.283386677,1.691830478,0,-1.580255865,-0.768776555,0.022740143,0,9277
streams,2007,25,0.639162582,1.606721382,0,-1.344465106,-0.549828639,0.005558401,0,2868
streams,2007,28,1.923992378,1.692617833,0,-1.133577691,-0.699340322,0.105100262,0,7255
streams,2007,29,1.499834448,1.678527568,0,-1.198230791,-0.657941945,0.016812073,0,8924
streams,2007,34,1.750536435,1.539562856,0,-0.792162814,-0.331626305,0.16082686,0,11052
streams,2007,35,2.325009075,1.717286431,0,-0.224975758,-0.432060552,0.976504719,0,61059
streams,2007,36,1.877033893,1.836050605,0,-1.228790894,-0.278704966,0.010229781,0,998
streams,2007,37,1.861037694,1.722070656,0,-0.374267346,-0.217536195,0.079797344,0,3826
streams,2007,38,1.555675552,1.556077008,0,-0.496521397,-0.347557343,0.113629156,0,15420
streams,2007,44,1.81067942,1.604455567,0,-0.778994926,-0.355337176,0.057888081,0,1142
streams,2007,45,1.95195584,1.567147142,0,-0.500174887,-0.326516773,0.136583949,0,10674
streams,2007,46,2.072674476,1.710788752,0,-0.396421156,-0.333363079,0.147179431,0,6567
streams,2007,47,2.390075931,1.681504695,0,-0.5500096,-0.407211695,0.098914314,0,4563
streams,2007,48,2.181808941,1.5995272,0,-0.702599107,-0.369637668,0.135616334,0,6112
streams,2007,49,2,1.521738705,1,-1.539556385,-0.159897686,0.004393823,0,959
streams,2007,56,2.65206841,1.526140874,0,-0.49942368,-0.52615807,0.542621579,0,20521
streams,2007,59,2.145990579,1.695935549,0,-0.663995688,-0.142243089,0.030010375,0,1263
streams,2007,72,1.429971664,1.449426742,1,-1.185371705,-0.373801004,0.011149066,0,1160
streams,2007,74,2.605621599,1.730546749,0,-0.389122524,-0.577611017,0.132274273,0,5186
streams,2007,80,1.832127422,1.677262047,0,-0.793318371,-0.185438102,0.027019305,0,2339
streams,2007,82,2.605617061,1.769051977,0,-0.325628447,-0.167974617,0.089727741,0,1070
streams,2007,83,2.633501829,1.70546411,0,-0.389324121,-0.383142498,0.217428641,0,8698
streams,2007,85,1.465362027,1.664944123,0,-0.730117122,-0.194191913,0.011087444,0,1834
streams,2007,86,2.060443895,1.591705969,0,-0.613313592,-1.370407444,0.022743463,0,5475
