v,t,income,age,N
16,1996,321868.0386,39.80996377,2717
17,1996,334129.8499,36.82549296,463
18,1996,319266.1743,41.74448136,270
24,1996,325345.7432,40.24283303,8352
25,1996,303521.3796,40.54709336,2613
28,1996,327260.9691,40.07634935,6421
29,1996,317921.7411,39.90244596,8183
34,1996,284865.945,42.19196581,10730
35,1996,326622.4789,38.68359354,55069
36,1996,354572.5757,38.53256802,854
37,1996,325423.2896,37.00691631,3566
38,1996,287303.0987,40.91633497,14680
44,1996,300819.0442,41.59345463,1138
45,1996,286684.019,42.59401079,10000
47,1996,319582.5483,40.271584,4069
49,1996,283938.0836,42.68048277,875
56,1996,287085.553,40.47412496,19965
57,1996,268285.5012,44.99209932,42
59,1996,318999.2547,38.56509566,1270
62,1996,321096.8245,40.50111857,128
68,1996,262564.4575,42.8784414,533
72,1996,258473.6528,46.62971214,1200
74,1996,331811.4521,38.04415161,4843
80,1996,325925.2578,38.94081954,2101
82,1996,315934.7243,36.84568246,1081
83,1996,339551.7191,37.91719977,7466
84,1996,337189.2669,40.07376994,1694
85,1996,337076.1826,37.14988273,1686
86,1996,302851.149,40.4818192,4983
87,1996,321593.1422,40.18479727,5503
89,1996,323765.3999,40.24717796,468
92,1996,324818.979,38.91615295,2067
93,1996,306853.3361,37.76422478,106387
95,1996,270435.1447,44.95991696,2004
96,1996,323446.6236,40.21737802,4557
101,1996,369502.7686,37.19444762,1199
102,1996,312640.3747,39.47388294,9034
103,1996,331882.1732,38.64356066,2627
104,1996,346547.8759,36.60392805,3180
105,1996,315445.2177,39.33642405,8494
106,1996,307376.0131,38.97461384,13921
107,1996,314017.444,37.44877436,3097
108,1996,333605.7207,37.9747097,579
109,1996,330893.7717,38.46042478,2557
110,1996,350497.4846,38.36161497,3530
111,1996,322885.3874,37.5954005,25816
113,1996,347259.8061,38.08778746,2467
114,1996,307931.5092,39.27640122,9437
119,1996,330045.7271,38.38254423,1556
120,1996,328816.7329,37.55127814,30701
122,1996,371337.5773,37.7245724,10902
123,1996,327121.7793,38.21857595,28993
124,1996,328561.4794,37.73240684,28037
125,1996,431226.6225,36.03250653,2073
127,1996,335565.9905,41.90923634,642
