ObservationsstedNr,X_UTM32,Y_UTM32
21000742,575950,6270942
21000745,532224,6208621
21000749,531630,6222699
21000752,553264,6206692
21000753,552374,6205340
21000754,551735,6206746
21000756,553242,6206530
21000757,553038,6207025
21000758,537641,6214533
21000759,551210,6218306
21000760,533747,6207786
21000780,520878,6249427
21000781,519311,6247119
21000782,520382,6246988
21000783,520466,6248584
21000784,526777,6250593
21000785,522729,6250397
21000786,529527,6234698
21000787,523827,6252695
21000788,521818,6247468
21000789,522145,6247173
21000790,522994,6250725
21000791,526926,6259838
21000792,526396,6258345
21000793,527874,6261326
21000794,533973,6254732
21000795,526904,6250902
21000797,527826,6253249
21000798,525859,6254657
21000799,527941,6260016
21000800,526462,6250634
21000803,531246,6235101
21000806,530980,6203430
21000807,529886,6204369
21000832,555602,6238182
21000842,556454,6218485
21000859,532053,6219968
21000861,532382,6219850
21000872,531714,6188463
21000873,550270,6218497
21000883,547744,6232843
21000885,550919,6230318
21000894,507910,6176686
21000895,507910,6176686
21000896,507910,6176686
21000897,507910,6176686
21000898,507910,6176686
21000901,552819,6230568
21000902,551719,6231368
21000903,553219,6227793
21000904,551819,6229618
21000905,550019,6232918
21000906,557294,6234018
21000907,555269,6232913
21000908,553959,6232443
21000909,552144,6232443
21000910,550669,6232193
21000911,549731,6233798
21000912,551544,6235493
21000913,546594,6233243
21000914,545119,6232843
21000915,547319,6231593
21000916,546794,6231968
21000917,549699,6228768
21000918,548094,6229718
21000919,547469,6230043
21000920,542594,6230043
21000921,546419,6231983
21000922,545694,6231643
21000923,545369,6231453
21000924,544519,6230893
21000925,543769,6230533
21000930,525724,6194439
21001012,547157,6245024
21001013,547103,6245723
21001014,553550,6212448
21001015,566897,6249958
21001016,536225,6236209
21001017,568104,6245714
21001018,568128,6250251
21001019,565328,6247690
21001020,572163,6250098
21001021,576645,6251737
21001022,581487,6253507
21001023,528748,6190202
21001024,528550,6187826
21001025,525963,6188239
21001026,527532,6187761
21001027,526082,6188044
21001028,568701,6241380
21001029,551905,6232223
21001030,544837,6216596
21001031,549007,6208780
21001032,546878,6207880
21001033,549157,6208793
21001034,548791,6209091
21001035,548579,6208929
21001036,549762,6207908
21001037,583504,6255889
21001038,534473,6237607
21001039,534019,6235793
21001040,528728,6206522
21001041,528690,6205797
21001042,526906,6207582
21001043,527457,6206557
21001044,528985,6205300
21001045,547245,6241562
21001046,541756,6241112
21001047,547245,6241164
21001048,543420,6240848
21001049,544787,6241250
21001050,549873,6247471
21001051,550185,6249709
21001052,567697,6253568
21001053,546001,6231503
21001054,527522,6238129
21001055,519515,6247106
21001056,532607,6247309
21001057,532724,6245669
21001058,543627,6206217
21001059,547238,6231647
21001060,561154,6244772
21001061,529086,6183908
21001062,528991,6183801
21001063,526917,6185129
21001064,528810,6185712
21001065,528005,6184444
21001066,527554,6187279
21001067,541096,6209823
21001068,556343,6243321
21001069,524208,6238862
21001070,549774,6233803
21001071,549995,6233117
21001072,542285,6239663
21001073,545712,6231702
21001074,562842,6205123
21001075,562896,6205181
21001076,555497,6240457
21001077,556396,6244162
21001078,553949,6236889
21001079,556436,6242660
21001080,526923,6249691
21001081,526792,6249886
21001082,526066,6244175
21001083,526616,6245798
21001084,527076,6247292
21001085,539674,6237211
21001086,538820,6236949
21001087,543497,6203577
21001088,541740,6248366
21001089,525957,6194802
21001090,525402,6193317
21001091,544740,6248228
21001092,543815,6247852
21001093,527391,6191304
21001094,543942,6206673
21001095,525866,6193973
21001096,538446,6194639
21001097,540665,6199704
21001098,526059,6191455
21001099,541887,6201566
21001100,541163,6232408
21001101,544008,6249340
21001102,525138,6195391
21001103,540804,6199217
21001104,529037,6190370
21001106,525716,6194473
21001107,534266,6190517
21001108,529947,6189983
21001109,543882,6203168
