ObservationsstedNr,X_UTM32,Y_UTM32
7000312,549646,6325666
7000313,549570,6328595
7000314,549570,6328595
7000315,555670,6325321
7000316,551657,6335354
7000317,549472,6325641
7000318,549570,6328595
7000319,582902,6322266
7000320,582901,6322265
7000321,552355,6335445
7000322,552355,6335445
7000327,554305,6328226
7000328,507910,6176686
7000329,507910,6176686
7000340,583638,6326420
8000003,576790,6334986
8000004,584329,6331186
8000030,576790,6334986
8000031,584264,6331411
8000032,584294,6331300
8000126,584329,6331186
8000127,584328,6331185
8000128,584535,6331397
8000129,584535,6331396
8000135,584264,6331411
9000007,507910,6176686
9000008,507910,6176686
9000009,453976,6290370
9000010,467394,6285642
9000011,507910,6176686
9000012,503994,6321642
9000013,507910,6176686
9000014,507910,6176686
9000016,494569,6329642
9000017,479239,6324722
9000018,488996,6317271
9000019,539589,6327186
9000020,503299,6327842
9000023,493119,6328662
9000024,507910,6176686
9000025,507910,6176686
9000026,502469,6320682
9000027,507910,6176686
9000129,507910,6176686
9000130,507910,6176686
9000131,507910,6176686
9000132,507910,6176686
9000133,507910,6176686
9000134,507910,6176686
9000135,507910,6176686
9000136,507910,6176686
9000137,507910,6176686
9000138,507910,6176686
9000139,507910,6176686
9000140,507910,6176686
9000141,507910,6176686
9000142,504039,6321532
9000143,507910,6176686
9000144,507910,6176686
9000145,507910,6176686
9000146,507910,6176686
9000147,507910,6176686
9000148,507910,6176686
9000149,494499,6319232
9000153,546020,6325937
9000154,546157,6326066
9000155,492325,6318164
9000156,539018,6326372
9000158,539018,6326372
9000159,507910,6176686
9000160,507910,6176686
9000161,507910,6176686
9000162,507910,6176686
9000163,507910,6176686
9000164,507910,6176686
9000165,503339,6327822
9000179,504830,6320525
9000180,505937,6321258
9000181,507019,6321542
9000182,507910,6176686
9000183,507910,6176686
9000184,507910,6176686
9000185,507910,6176686
9000186,507910,6176686
9000187,507910,6176686
9000188,507910,6176686
9000190,507910,6176686
9000191,503177,6327866
9000193,494889,6319219
9000194,507910,6176686
9000195,507910,6176686
9000196,507910,6176686
9000197,507910,6176686
9000198,507910,6176686
9000199,507910,6176686
9000203,494499,6319232
9000204,503156,6326519
9000205,503156,6326519
9000206,503075,6326311
9000207,503339,6327822
9000210,506988,6321633
9000211,505937,6321258
9000212,488996,6317271
9000219,507910,6176686
9000220,507910,6176686
9000221,505893,6325589
9000222,505783,6325557
9000223,507910,6176686
9000224,507910,6176686
9000225,507910,6176686
9000226,507910,6176686
9000227,507910,6176686
9000228,507910,6176686
9000229,546045,6326137
9000230,507910,6176686
9000231,507910,6176686
9000232,455279,6292522
9000233,456506,6291709
9000234,455388,6292346
9000235,507910,6176686
9000236,507910,6176686
9000237,490959,6319020
9000238,507910,6176686
9000239,491019,6318282
9000240,468841,6282478
9000241,507910,6176686
9000242,507910,6176686
9000243,507910,6176686
9000244,460916,6282067
9000245,507910,6176686
9000246,496041,6319752
